Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
20000,36,Self employed,Other,0,163,58,5,4,1,0,0,1,109.0,102650,6862,0,5.132499999743375,0.35582821867590053
4000,48,Employed - full time,Other,0,69,11,8,8,0,3,2,0,37.88,3890,3890,7,0.9724999997568751,0.15942028754463353
4000,48,Employed - full time,Other,0,189,6,13,9,1,2,2,4,53.38,8050,8050,7,2.012499999496875,0.03174603157806333
4000,48,Employed - full time,Other,0,27,4,4,3,1,0,3,1,10.75,800,800,0,0.19999999995,0.1481481426611799
4000,48,Retired,Other,0,179,12,13,5,0,0,0,8,106.31,1119,1119,0,0.2797499999300625,0.06703910577073126
4000,48,Employed - full time,Other,1,162,4,48,18,3,0,5,30,51.88,148188,8025,0,37.04699999073825,0.02469135787227557
4000,48,Employed - full time,Other,0,109,7,12,7,0,3,3,5,30.58,19645,19645,7,4.911249998772187,0.06422018289706255
20000,36,Employed - full time,other,0,171,2,16,10,6,0,2,6,64.19,59034,256,0,2.951699999852415,0.011695906364351425
4000,48,Employed - full time,furniture,0,104,10,26,20,1,19,1,6,47.62,5756,5756,7,1.43899999964025,0.09615384522928995
10000,24,Employed - full time,consolidation,0,205,7,14,9,2,0,2,5,66.5,192313,192313,0,19.23129999807687,0.03414634129684711
4000,48,Employed - full time,Other,0,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-0.00024999999993750003,1.000001000001
4000,48,Employed - full time,Other,1,252,3,15,11,0,0,2,4,81.93,7764,7764,0,1.94099999951475,0.011904761857520787
13000,60,Employed - full time,Other,0,90,1,66,18,13,14,11,48,29.58,9282,9282,7,0.7139999999450769,0.011111110987654323
4000,48,Employed - full time,Other,0,161,15,36,23,0,0,0,13,59.03,18131,18131,0,4.532749998866812,0.09316770128467267
4000,48,Employed - full time,Other,0,208,2,94,12,18,0,21,82,27.59,18845,18845,0,4.711249998822187,0.009615384569156804
15000,60,Self employed,Other,0,328,11,22,16,0,0,1,6,99.36,246415,38539,0,16.42766666557149,0.03353658526360797
4000,36,Self employed,Other,0,232,4,15,13,1,0,5,2,58.87,137916,10920,0,34.47899999138025,0.017241379236028538
1000,60,Employed - full time,Other,0,341,5,8,8,0,1,2,0,124.88,66566,9025,7,66.565999933434,0.014662756555241184
4000,48,Employed - full time,Other,0,116,1,13,3,1,0,1,10,33.77,6871,6871,0,1.7177499995705625,0.008620689580856124
20000,48,Self employed,Other,0,236,2,28,22,1,0,2,6,67.5,50102,50102,0,2.5050999998747447,0.008474576235277219
3000,24,Employed - full time,Other,0,145,8,30,18,0,1,2,12,66.47,14220,14220,0,4.73999999842,0.055172413412604045
4000,48,Self employed,Other,1,145,5,20,15,0,0,2,5,50.55,167466,167466,0,41.866499989533374,0.03448275838287753
6500,48,Self employed,Other,0,224,30,11,7,0,2,0,4,113.64,246197,481,7,37.87646153263439,0.13392857083067602
3250,24,Employed - full time,Other,0,151,8,20,11,6,5,7,9,21.3,22772,22772,7,7.006769228613302,0.05298013209946933
5000,12,Employed - full time,Debt Consolidation,0,154,1,18,12,2,0,7,6,49.72,24170,24170,0,4.8339999990332,0.006493506451340867
7000,60,Employed - full time,Home improvement,1,242,6,31,18,1,0,1,13,63.68,127715,15752,0,18.24499999739357,0.024793388327300048
1500,12,Employed - full time,Debt consolidation,0,179,1,21,14,1,3,3,7,53.05,14866,14866,7,9.910666660059555,0.005586592147560938
9500,60,Employed - full time,Other,0,234,40,2,2,0,1,0,0,137.0,1428,1428,7,0.1503157894578615,0.1709401702096574
10000,48,Self employed,Other,0,265,21,24,16,1,0,0,8,109.29,669029,377433,0,66.9028999933097,0.07924528271982913
20000,54,Employed - full time,home improvements,0,133,5,7,7,0,0,1,0,36.29,7046,7046,0,0.352299999982385,0.03759398467974448
10000,60,Employed - full time,other,0,118,13,5,5,0,0,0,0,54.8,1988,1988,0,0.19879999998012,0.11016949059178398
10000,60,Self employed,Other,0,263,0,13,9,1,0,3,4,89.85,310231,74146,0,31.023099996897688,0.0
1000,24,Employed - full time,Other,0,165,0,37,12,2,0,9,25,34.22,53127,53127,0,53.126999946873,0.0
10000,60,Employed - full time,Home Improvements,0,237,64,9,7,0,2,0,2,136.22,58023,12110,7,5.80229999941977,0.2700421929534085
7000,60,Employed - full time,Car,0,190,8,6,5,1,1,1,1,100.17,1598,1598,7,0.22828571425310204,0.04210526293628809
1000,12,Employed - full time,Consolidation,0,99,0,9,7,1,0,2,2,40.0,2015,2015,4,2.014999997985,0.0
3500,24,Employed - full time,Other,0,103,3,14,11,1,0,4,3,35.29,13560,13560,0,3.8742857131787756,0.02912621330945424
20000,60,Employed - full time,Other,0,311,1,23,13,2,0,2,10,74.04,4474,4474,0,0.22369999998881498,0.00321543407326227
18000,60,Employed - full time,Other,0,164,1,18,10,4,0,3,8,41.56,244030,10680,0,13.557222221469043,0.006097560938429507
2000,12,Employed - full time,Other,0,14,5,6,6,0,0,2,0,10.5,1213,1213,0,0.60649999969675,0.3571428316326549
2000,24,Employed - full time,Other,0,105,44,6,4,1,1,0,2,86.0,1406,1406,0,0.7029999996484999,0.4190476150566894
10000,48,Employed - full time,Debt consolidation,0,271,3,18,7,1,0,2,11,83.17,3028,3028,0,0.30279999996972,0.011070110660257895
16000,60,Employed - full time,Other,0,152,22,20,13,1,0,0,7,60.95,14478,14478,0,0.9048749999434453,0.1447368411530471
20000,60,Employed - full time,Other,0,225,3,27,10,1,0,2,17,100.44,190955,20876,0,9.547749999522612,0.013333333274074075
1500,36,Employed - full time,Other,0,217,1,16,10,5,0,5,6,45.69,33531,16805,0,22.35399998509733,0.004608294909639194
4000,36,Employed - full time,Other,0,28,3,2,2,0,0,1,0,15.5,1008,1008,0,0.251999999937,0.10714285331632667
1000,60,Employed - full time,Holiday,0,142,12,7,6,0,4,0,1,37.71,1084,1084,7,1.083999998916,0.08450704165840112
6000,60,Employed - full time,Other,1,151,1,21,12,2,0,4,9,54.05,110236,17009,0,18.372666663604555,0.006622516512433666
18000,48,Self employed,Other,0,389,20,24,17,0,0,0,7,171.25,53807,53807,0,2.9892777776117065,0.051413881615902615
1000,24,Employed - full time,Furniture,0,200,5,4,2,2,0,2,2,59.0,0,0,0,0.0,0.024999999875
2000,12,Employed - full time,Car,0,90,24,15,7,0,5,0,8,46.43,11562,11562,7,5.780999997109499,0.26666666370370373
15000,60,Employed - full time,Other,0,257,14,17,8,3,3,0,9,114.35,78637,3258,7,5.242466666317169,0.054474707959242384
10000,48,Employed - full time,Car loan,0,126,4,44,5,1,1,2,39,53.34,414,414,7,0.04139999999586,0.03174603149407912
10000,60,Employed - full time,Other,1,198,3,23,9,6,0,4,14,67.35,51611,12530,0,5.1610999994838895,0.015151515074992348
2000,24,Employed - full time,Other,0,402,16,25,13,0,9,0,12,76.71,60239,4535,7,30.119499984940248,0.03980099492586817
4000,36,Employed - full time,Debt consolidation,0,187,3,18,12,0,4,2,6,57.44,3916,3916,7,0.97899999975525,0.016042780662872833
20000,60,Employed - full time,Other,0,176,2,8,5,0,0,1,3,73.25,0,0,0,0.0,0.011363636299070248
5000,36,Employed - full time,Home improvement,0,178,11,9,5,1,0,1,4,81.11,9864,9864,0,1.97279999960544,0.06179775246181038
10000,36,Employed - full time,car,0,181,6,18,11,1,0,1,7,65.11,66090,998,0,6.6089999993391,0.03314917108757364
1000,24,Employed - full time,Other,0,70,9,7,6,1,2,1,1,31.43,1752,1752,7,1.751999998248,0.1285714267346939
1500,54,Employed - full time,Other,0,102,1,13,11,2,0,7,2,22.77,100115,7256,0,66.74333328883777,0.009803921472510574
1000,24,Employed - full time,Debt Consolidation,0,85,3,25,13,3,4,8,12,45.12,4594,4594,7,4.5939999954060005,0.03529411723183391
20000,60,Employed - full time,Home improvements,0,131,0,9,7,1,0,4,2,42.78,136818,819,0,6.840899999657955,0.0
6000,30,Employed - full time,consolidation,0,146,3,19,10,1,5,2,9,50.05,7153,7153,7,1.1921666664679722,0.020547945064740104
15000,36,Self employed,Home improvement,0,195,24,11,6,1,0,0,5,67.36,2691,2691,0,0.17939999998804,0.12307692244575938
2000,18,Employed - full time,Other,0,114,6,22,6,1,0,5,16,36.41,23176,23176,0,11.587999994206,0.05263157848568791
13120,36,Employed - full time,Other,0,150,1,8,7,0,0,2,1,58.5,2898,2898,0,0.22088414632462772,0.0066666666222222224
6500,48,Employed - full time,Other,0,130,2,15,9,3,1,6,6,41.33,149691,2799,7,23.029384611841632,0.01538461526627219
10000,60,Employed - full time,Other,0,126,4,13,7,1,1,2,6,63.38,159590,5731,2,15.9589999984041,0.03174603149407912
5000,36,Employed - full time,Debt consolidation,0,227,3,20,16,1,1,6,4,42.0,12186,12186,7,2.43719999951256,0.013215858972617362
5000,24,Self employed,Other,0,48,2,9,8,1,0,3,1,23.89,70365,70365,0,14.072999997185399,0.041666665798611134
2000,24,Employed - full time,Other,0,155,1,34,12,4,8,8,22,49.0,5128,5128,7,2.5639999987179998,0.0064516128616024975
10000,60,Employed - full time,Other,0,163,12,5,5,0,0,0,0,46.2,6991,6991,0,0.69909999993009,0.07361963145018631
20000,60,Employed - full time,Other,0,245,1,24,12,1,0,1,12,77.04,16797,16797,0,0.8398499999580075,0.004081632636401499
6500,48,Employed - full time,Other,0,49,8,3,3,0,0,1,0,23.0,6606,6606,0,1.0163076921513372,0.16326530279050402
1000,12,Employed - full time,Home Improvements,0,74,8,6,4,1,3,1,2,31.0,1928,1928,7,1.927999998072,0.10810810664718776
6500,48,Employed - full time,Other,0,22,1,3,1,2,0,1,2,14.0,0,0,0,0.0,0.045454543388429844
15000,60,Self employed,Home improvements,1,163,16,9,3,2,0,0,6,68.56,5683,5683,0,0.3788666666414089,0.09815950860024841
3800,12,Employed - full time,Other,0,15,6,4,3,1,0,2,1,10.5,287,287,0,0.07552631576959834,0.39999997333333515
5000,12,Employed - full time,Other,0,68,8,5,4,0,0,2,1,26.8,150,150,0,0.029999999993999996,0.11764705709342564
5000,60,Employed - part time,Home improvement,1,217,76,4,2,0,0,0,2,176.5,39055,0,0,7.8109999984378,0.35023041313257874
15000,48,Employed - full time,Home improvements,0,170,4,18,10,0,0,3,8,52.17,197275,9703,0,13.151666665789888,0.02352941162629758
6500,48,Employed - full time,Other,0,49,3,12,10,0,0,2,2,21.33,4218,4218,0,0.6489230768232426,0.06122448854643901
6500,48,Employed - full time,Vets bills,0,179,104,2,2,0,0,0,0,141.5,33518,0,0,5.156615383822059,0.5810055833463376
10000,60,Employed - full time,Other,0,94,4,38,14,3,9,2,24,45.45,4192,4192,7,0.41919999995808,0.04255319103666818
2000,24,Employed - full time,Furniture,0,150,36,8,4,1,1,0,4,64.38,10993,10993,7,5.49649999725175,0.23999999840000003
10000,60,Employed - full time,Other,0,168,6,9,6,1,0,1,3,45.67,3360,3360,0,0.3359999999664,0.03571428550170068
15000,60,Employed - full time,Car,0,73,6,5,3,0,0,2,2,32.4,448648,0,0,29.909866664672673,0.08219177969600303
15000,24,Employed - full time,Other,0,340,21,11,4,1,0,0,7,97.82,54904,13212,0,3.6602666664226486,0.06176470570069204
2000,24,Self employed,Home improvements,0,216,136,2,1,0,0,0,1,176.0,325180,-1,0,162.589999918705,0.6296296267146777
1000,24,Employed - full time,consolidation,0,96,5,6,4,1,0,1,2,52.17,2439,2439,3,2.438999997561,0.05208333279079862
1000,12,Self employed,other,0,206,3,24,12,0,7,1,12,62.08,4864,4864,7,4.863999995136,0.014563106725421812
6500,48,Employed - full time,Other,0,320,9,22,10,1,0,2,12,85.36,10253,10253,0,1.5773846151419408,0.028124999912109375
1000,12,Employed - full time,Other,0,86,12,6,5,0,1,0,1,49.17,20101,20101,1,20.100999979899,0.1395348820984316
20000,60,Employed - full time,Other,0,212,10,19,9,3,0,1,10,55.74,123377,3628,0,6.168849999691558,0.04716981109825561
13000,48,Employed - full time,New car,0,78,2,18,10,0,0,5,8,28.22,126062,1705,0,9.697076922330993,0.02564102531229455
20000,36,Employed - full time,Debt,0,406,5,17,8,1,0,1,9,116.0,13766,13766,0,0.688299999965585,0.012315270905627411
10000,48,Self employed,Car,0,6,4,3,3,0,0,3,0,5.0,0,0,0,0.0,0.6666665555555741
3000,24,Employed - full time,Other,0,30,27,3,3,0,2,0,0,28.0,1126,1126,7,0.37533333320822226,0.899999970000001
3000,12,Employed - full time,Other,0,277,2,12,9,0,1,4,3,67.58,2365,2365,1,0.7883333330705555,0.007220216580432431
500,24,Employed - full time,Other,0,69,4,20,15,1,2,10,5,19.58,19209,19209,7,38.417999923164,0.05797101365259401
3000,48,Employed - full time,Other,0,79,1,16,8,4,0,6,8,21.69,14127,14127,0,4.7089999984303335,0.012658227687870536
10000,60,Employed - full time,Other,0,291,6,7,5,1,0,2,2,71.57,646,646,0,0.06459999999353999,0.020618556630176782
5000,48,Self employed,Car,0,114,0,15,8,0,0,1,7,40.6,15140,15140,0,3.0279999993944,0.0
2000,24,Employed - part time,Other,0,190,4,8,7,0,0,2,1,59.0,130921,5646,0,65.46049996726974,0.021052631468144047
1000,24,Employed - full time,Other,0,96,0,5,4,0,1,1,1,42.6,210,210,7,0.20999999979,0.0
4000,18,Employed - full time,consolidation,0,83,6,41,11,3,6,2,30,39.66,10125,10125,7,2.5312499993671875,0.07228915575555234
6000,48,Retired,Debt Consolidation,0,104,6,21,12,2,0,3,9,43.48,26073,26073,0,4.3454999992757495,0.05769230713757397
5000,36,Employed - full time,consolidation,0,162,4,17,10,3,0,3,7,50.47,35210,35210,0,7.041999998591599,0.02469135787227557
10000,48,Employed - full time,Consolidation,0,228,3,35,14,2,0,3,21,68.91,247557,39867,0,24.755699997524427,0.01315789467913204
10000,60,Employed - full time,Furniture,0,127,2,12,7,0,0,3,5,25.17,5314,5314,0,0.5313999999468599,0.015748031372062744
6500,48,Employed - full time,Short Term Loan,0,378,5,16,8,2,0,2,8,114.75,46212,5323,6,7.109538460444686,0.013227513192519807
10000,24,Employed - full time,Home improvements,0,222,6,16,9,2,0,4,7,49.19,140669,26623,0,14.066899998593309,0.027027026905283663
6500,48,Employed - full time,Short Term Loan,0,48,2,3,2,1,0,2,1,18.33,33975,33975,0,5.2269230761189345,0.041666665798611134
7500,60,Employed - full time,debt consolidation,0,72,23,9,8,0,0,0,1,43.89,23315,23315,0,3.108666666252178,0.3194444400077161
1000,24,Employed - full time,Other,0,145,17,5,3,0,3,0,2,67.4,655,655,7,0.654999999345,0.1172413785017836
10000,60,Employed - full time,Debt consolidation,0,345,18,18,12,0,0,0,6,120.06,130883,39331,0,13.08829999869117,0.05217391289224953
6500,48,Employed - full time,Short Term Loan,0,231,7,26,9,1,0,3,17,69.92,34459,34459,0,5.3013846145690176,0.030303030171848353
1800,12,Employed - full time,Other,0,192,5,25,8,3,1,2,17,40.16,8857,8857,7,4.920555552821913,0.026041666531032986
8000,48,Employed - full time,Car,0,175,4,12,9,1,1,2,3,56.42,8454,8454,0,1.0567499998679062,0.022857142726530614
10000,60,Employed - full time,car,0,217,2,9,5,1,0,2,4,80.11,10676,10676,0,1.06759999989324,0.009216589819278387
10000,24,Employed - full time,Debt consolidation,0,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-9.999999999e-05,1.000001000001
6500,48,Employed - full time,Short Term Loan,0,127,1,20,13,2,7,3,7,40.35,9138,9138,7,1.4058461536298696,0.007874015686031372
3000,60,Employed - full time,Other,0,264,6,20,14,1,0,3,6,49.5,17653,17653,0,5.884333331371889,0.022727272641184574
2000,24,Employed - full time,Other,0,157,4,37,16,2,8,3,21,45.46,5313,5313,7,2.65649999867175,0.02547770684409104
11000,36,Employed - full time,Other,0,235,5,14,8,0,0,1,6,85.71,11695,11695,0,1.0631818180851653,0.021276595654142146
3300,36,Employed - full time,Home improvements,0,141,3,8,5,1,1,1,3,67.38,5331,5331,0,1.6154545449650137,0.02127659559378301
2500,48,Employed - full time,Short Term Loan,0,213,4,19,12,3,4,2,7,54.05,54261,25709,7,21.70439999131824,0.018779342634838766
1500,12,Employed - full time,Short Term Loan,0,146,1,17,15,0,3,5,2,35.82,18292,18292,7,12.194666658536889,0.0068493150215800346
11000,36,Employed - full time,Short Term Loan,0,133,1,25,12,1,0,2,13,39.36,34960,34960,1,3.1781818178928924,0.007518796935948895
8000,60,Employed - full time,Other,1,78,9,10,7,3,0,2,3,40.0,2608,2608,0,0.32599999995925,0.11538461390532546
5000,24,Employed - full time,Other,0,127,1,21,10,0,3,2,11,39.05,16672,16672,7,3.3343999993331197,0.007874015686031372
7000,60,Employed - full time,Car,0,91,7,10,8,0,0,5,2,23.4,400,400,0,0.05714285713469387,0.0769230760777684
10000,36,Employed - full time,Short Term Loan,0,11,3,5,5,0,0,5,0,6.8,0,0,0,0.0,0.2727272479338866
6500,48,Employed - full time,Short Term Loan,0,70,0,11,5,3,0,3,6,29.0,5805,5805,0,0.8930769229395266,0.0
15000,60,Employed - full time,Debt consolidation,0,154,3,26,18,2,0,3,8,53.77,194563,56027,0,12.970866665801942,0.0194805193540226
2000,24,Employed - full time,Other,0,193,1,16,10,0,3,5,6,44.19,7333,7333,1,3.6664999981667497,0.005181347123412709
5000,36,Employed - full time,Car,0,253,15,31,24,1,12,0,7,114.23,252579,180068,7,50.515799989896834,0.059288537315065074
9150,48,Employed - full time,Other,0,151,2,11,8,1,1,4,3,43.27,2708,2708,7,0.2959562841206605,0.013245033024867332
5000,48,Employed - full time,Short Term Loan,0,83,2,24,15,2,0,4,9,33.54,113224,16104,0,22.64479999547104,0.02409638525185078
1350,24,Employed - full time,Car,0,91,3,2,2,0,0,1,0,47.0,0,0,0,0.0,0.03296703260475788
10000,60,Employed - full time,Debt consolidation,0,145,9,6,6,0,2,2,0,55.83,9396,9396,7,0.9395999999060399,0.06206896508917955
10000,60,Employed - full time,Short Term Loan,0,144,20,8,6,0,0,0,2,54.0,123552,7727,0,12.35519999876448,0.13888888792438273
6500,48,Employed - full time,Short Term Loan,0,89,49,11,9,0,8,0,2,67.82,1598,1598,7,0.24584615380833136,0.5505617915667215
7000,24,Employed - full time,Other,0,143,2,21,12,3,4,3,9,47.57,5732,5732,7,0.8188571427401632,0.013986013888209694
1000,18,Employed - full time,Short Term Loan,0,131,1,26,15,2,6,3,11,48.65,18265,18265,7,18.264999981735,0.00763358772798788
2000,24,Employed - full time,consolidation,0,240,3,25,17,5,3,4,8,73.36,77970,31186,7,38.984999980507496,0.012499999947916667
10000,36,Employed - full time,Other,0,90,17,10,5,0,0,0,5,44.3,1308,1308,0,0.13079999998692,0.18888888679012347
1000,12,Employed - full time,Short Term Loan,0,39,3,4,4,0,1,1,0,24.25,576,576,7,0.575999999424,0.0769230749506904
20000,24,Employed - full time,Other,0,78,4,8,5,1,0,2,3,46.62,2521,2521,0,0.1260499999936975,0.0512820506245891
17000,36,Employed - full time,Short Term Loan,0,80,7,19,11,2,0,1,8,41.16,247561,25119,0,14.56241176384927,0.08749999890625001
1000,12,Employed - part time,Short Term Loan,0,116,3,16,15,1,9,3,1,37.81,3703,3703,7,3.702999996297,0.025862068742568373
10000,60,Employed - full time,New car,0,120,2,27,19,2,10,4,8,52.15,37760,37760,7,3.7759999996224,0.01666666652777778
20000,48,Employed - full time,Short Term Loan,0,81,14,15,9,0,0,0,6,45.53,16854,16854,0,0.8426999999578649,0.1728395040390185
10000,60,Employed - full time,Short Term Loan,0,101,5,24,14,1,0,2,10,48.21,24036,24036,0,2.40359999975964,0.04950495000490149
6500,48,Employed - full time,Other,0,31,19,2,2,0,0,0,0,25.0,0,0,0,0.0,0.6129032060353804
6500,48,Employed - full time,Short Term Loan,0,281,2,24,20,1,5,3,4,50.57,14367,14367,7,2.2103076919676448,0.007117437697090969
2000,18,Employed - full time,Short Term Loan,0,84,10,20,14,1,7,1,6,50.65,37632,37632,7,18.815999990591997,0.1190476176303855
1000,24,Employed - full time,Other,0,218,2,37,19,1,8,5,18,48.51,5049,5049,7,5.048999994951,0.009174311884521506
500,12,Employed - full time,Short Term Loan,0,80,1,27,8,0,1,2,19,32.74,19668,19668,7,39.335999921328,0.012499999843750002
5000,60,Employed - full time,Wedding,1,119,7,15,9,1,0,1,6,44.2,450,450,0,0.08999999998199999,0.05882352891744934
1500,36,Employed - full time,Short Term Loan,0,44,1,20,17,3,0,13,3,11.5,7726,7726,5,5.150666663232888,0.022727272210743815
10000,48,Employed - full time,Short Term Loan,0,147,27,5,3,1,0,0,2,71.0,0,0,0,0.0,0.18367346813827573
3000,36,Employed - full time,Car,0,139,4,25,13,2,1,4,12,40.48,17303,17303,7,5.7676666647441115,0.02877697821023757
12500,60,Employed - full time,Short Term Loan,0,93,21,5,5,0,0,0,0,48.8,131981,178,0,10.55847999915532,0.22580644918487688
6000,60,Employed - full time,Car,0,102,2,19,12,1,0,4,7,33.0,13489,13489,0,2.248166666291972,0.01960784294502115
20000,60,Employed - full time,Other,0,241,24,16,12,1,0,0,4,96.5,351627,1504,0,17.58134999912093,0.09958506182744788
8500,48,Employed - full time,Short Term Loan,0,116,1,12,10,0,0,1,2,59.42,116619,2922,0,13.719882351327072,0.008620689580856124
6500,60,Employed - part time,Car,0,144,51,2,1,0,1,0,1,97.5,595,595,0,0.0915384615243787,0.35416666420717596
1000,12,Employed - full time,Other,0,99,8,11,10,0,0,5,1,22.55,4394,4394,1,4.393999995606,0.08080807999183758
5000,60,Employed - full time,Home improvements,0,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-0.00019999999996,1.000001000001
5000,24,Employed - full time,consolidation,0,114,1,18,7,3,4,2,11,43.11,3790,3790,4,0.7579999998483999,0.008771929747614652
5000,60,Employed - full time,debt consolidation,0,235,50,12,6,0,1,0,6,131.75,14049,14049,7,2.80979999943804,0.21276595654142147
8000,36,Employed - part time,Short Term Loan,0,267,3,21,13,1,0,3,8,72.19,244277,25678,0,30.53462499618317,0.011235955014097547
10000,60,Employed - full time,Debts,0,113,8,23,14,1,0,2,9,60.57,134068,40930,1,13.40679999865932,0.07079645955047381
500,24,Employed - full time,Short Term Loan,0,67,1,29,14,1,10,3,15,23.76,8202,8202,7,16.403999967192,0.0149253729115616
14000,48,Employed - full time,Other,0,268,15,13,8,0,0,0,5,75.0,268682,13607,0,19.1915714272006,0.05597014904488751
15000,36,Employed - full time,Debt consolidation,0,130,3,12,7,2,0,7,5,30.67,14607,14607,0,0.9737999999350799,0.023076922899408287
5000,60,Employed - full time,Other,0,56,5,7,6,0,3,2,1,26.43,2813,2813,7,0.56259999988748,0.08928571269132657
11000,36,Employed - full time,Car,0,264,131,5,3,0,0,0,2,196.6,147861,1934,0,13.4419090896871,0.49621211933252984
10000,36,Employed - full time,Other,0,294,81,9,6,0,0,0,3,127.67,254,254,0,0.02539999999746,0.2755102031445231
1000,12,Employed - full time,Car,0,144,3,27,10,5,2,7,17,35.81,6882,6882,7,6.881999993118,0.020833333188657408
1500,24,Employed - full time,Other,0,30,10,3,3,0,0,1,0,17.67,1649,1649,0,1.0993333326004444,0.33333332222222256
5000,24,Employed - full time,Debts,0,111,2,15,8,5,0,4,7,37.4,5093,5093,0,1.01859999979628,0.018018017855693534
20000,48,Employed - full time,Other,0,329,42,20,10,1,0,0,10,119.95,1240133,41767,0,62.00664999689967,0.1276595740800621
12000,60,Employed - full time,Short Term Loan,0,161,2,19,10,5,0,5,9,54.63,35539,35539,0,2.9615833330865344,0.01242236017128969
3000,36,Employed - full time,Short Term Loan,1,205,8,29,8,10,0,8,21,37.66,4292,4292,0,1.4306666661897778,0.03902439005353956
15000,12,Employed - full time,Wedding,0,77,9,8,7,0,0,2,1,28.75,304693,15272,0,20.312866665312477,0.11688311536515435
4000,54,Employed - full time,Other,1,201,1,20,12,1,0,4,8,57.65,109600,15493,0,27.39999999315,0.004975124353357591
2000,60,Employed - full time,Short Term Loan,0,107,8,23,13,1,9,4,10,49.61,24017,24017,7,12.00849999399575,0.07476635444143594
15000,60,Employed - full time,Short Term Loan,1,200,9,17,6,2,6,1,11,76.12,0,0,0,0.0,0.044999999775
13000,60,Employed - full time,Consolidation,0,139,9,20,10,5,0,2,10,59.3,15602,15602,0,1.2001538460615266,0.06474820097303452
1800,48,Employed - full time,Other,0,152,3,22,8,0,0,3,14,35.41,3561,3561,0,1.9783333322342591,0.019736841975415514
10000,60,Employed - full time,Short Term Loan,1,106,19,5,4,0,0,0,1,53.4,278,278,0,0.02779999999722,0.1792452813278747
3000,36,Employed - full time,Home,1,148,7,7,7,0,0,3,0,53.0,268156,29817,0,89.38533330353823,0.04729729697772097
12000,36,Employed - full time,Short Term Loan,0,156,11,16,4,1,0,1,12,65.19,0,0,0,0.0,0.07051282006081526
15000,54,Employed - full time,Other,0,254,4,14,9,1,2,1,5,75.21,142256,20900,7,9.483733332701084,0.015748031434062868
20000,60,Employed - full time,Home improvements,0,156,15,18,12,1,0,0,6,66.0,3702,3702,0,0.185099999990745,0.09615384553747536
2000,36,Employed - full time,Short Term Loan,0,161,8,23,7,1,0,1,16,38.87,10755,10755,3,5.37749999731125,0.04968944068515876
3500,24,Employed - full time,Car,0,140,8,5,4,0,2,1,1,66.4,1441,1441,7,0.4117142855966531,0.05714285673469388
6500,48,Employed - full time,Short Term Loan,1,150,4,7,3,0,1,1,4,98.29,2766,2766,0,0.42553846147299407,0.02666666648888889
5000,60,Employed - full time,Debt consolidation,0,224,4,13,11,1,1,7,2,30.69,5127,5127,7,1.02539999979492,0.01785714277742347
5000,60,Employed - full time,Short Term Loan,0,236,3,31,22,1,4,4,9,61.13,35804,35804,7,7.16079999856784,0.012711864352915828
6500,48,Employed - full time,Short Term Loan,0,151,4,35,26,4,4,9,9,46.51,84711,34685,7,13.032461536456543,0.026490066049734664
5000,24,Employed - full time,Short Term Loan,0,18,8,2,2,0,0,1,0,13.0,2002,2002,0,0.40039999991992,0.4444444197530878
5000,60,Employed - full time,Other,1,148,1,28,15,0,1,5,13,49.82,8755,8755,0,1.7509999996497998,0.006756756711102995
10000,36,Employed - full time,Other,0,132,8,23,13,2,0,2,10,52.65,36725,36725,0,3.67249999963275,0.06060606014692379
5000,36,Employed - full time,Short Term Loan,0,54,15,7,5,0,0,0,2,37.0,9645,9645,0,1.9289999996141998,0.277777772633745
15000,60,Employed - full time,Consolidation,0,267,45,10,7,0,0,0,3,131.1,62641,8370,6,4.176066666388262,0.1685393252114632
15000,60,Employed - full time,Consolidation,0,290,13,22,12,0,0,0,10,103.68,40523,40523,0,2.701533333153231,0.044827586052318666
6500,48,Employed - full time,Short Term Loan,0,80,6,11,3,7,6,3,8,40.09,1108,1108,7,0.17046153843531361,0.07499999906250002
5000,36,Employed - full time,Short Term Loan,0,999,12,20,12,0,8,0,8,136.45,2301,2301,7,0.46019999990795996,0.012012011999987976
3000,36,Employed - full time,Short Term Loan,0,129,2,27,18,3,0,5,9,39.07,27934,27934,0,9.311333330229555,0.015503875848807164
1000,12,Employed - full time,home improvements,0,56,32,3,2,0,0,0,1,40.0,0,0,0,0.0,0.57142856122449
5000,60,Employed - full time,Short Term Loan,0,191,1,20,13,2,0,6,7,48.95,46012,46012,0,9.20239999815952,0.005235602066829308
11500,60,Employed - full time,Other,0,189,2,22,10,1,0,3,12,69.0,12937,12937,0,1.124956521641308,0.010582010526021108
5000,48,Employed - full time,Car,0,14,8,2,2,0,0,1,0,11.0,0,0,0,0.0,0.5714285306122479
