Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
2000,24,Employed - part time,Other,0,181,1,13,9,0,0,2,4,64.0,10275,10275,0,5.13749999743125,0.0055248618479289404
2500,60,Employed - full time,Other,0,159,6,13,9,2,3,5,4,48.0,11854,11854,7,4.74159999810336,0.03773584881927139
5000,60,Employed - full time,Other,0,61,1,24,8,3,5,5,16,33.46,4487,4487,7,0.89739999982052,0.016393442354205864
5000,48,Employed - full time,Debt consolidation,0,173,13,33,13,1,3,0,20,43.52,6814,6814,7,1.3627999997274398,0.07514450823615891
9000,48,Self employed,Car,0,153,2,19,12,2,0,2,7,55.79,157525,9583,0,17.502777775833025,0.013071895339399377
10500,60,Employed - full time,Other,0,232,15,13,7,0,0,0,6,73.0,8270,8270,0,0.7876190475440362,0.06465517213510702
6500,48,Employed - full time,Other,0,56,3,8,7,1,0,3,1,25.12,596,596,0,0.09169230767820118,0.05357142761479594
6000,36,Employed - full time,Other,0,178,2,33,15,4,0,7,18,60.12,89838,23243,0,14.972999997504498,0.011235954993056433
8000,48,Employed - full time,Car,0,76,3,98,12,22,1,21,86,18.27,6266,6266,7,0.7832499999020938,0.03947368369113574
12500,60,Employed - full time,Other,0,262,7,22,12,0,0,3,10,71.5,43581,43581,0,3.4864799997210816,0.02671755714993299
2000,18,Employed - full time,Other,0,124,4,19,13,2,10,3,6,55.63,6908,6908,7,3.453999998273,0.032258064255983356
7000,60,Employed - full time,Other,0,238,1,18,15,0,0,3,3,71.83,91175,13299,6,13.024999998139284,0.004201680654614787
4000,36,Employed - full time,Other,0,97,2,38,25,8,1,10,13,37.39,14826,14826,0,3.706499999073375,0.02061855648846849
6000,36,Employed - full time,Other,0,118,1,22,13,3,1,6,9,32.05,6629,6629,0,1.1048333331491944,0.008474576199367999
6500,48,Employed - full time,Other,0,87,5,31,9,2,2,4,22,38.19,5299,5299,7,0.8152307691053491,0.057471263707226855
5000,36,Employed - full time,Other,0,94,4,13,9,0,5,3,4,53.38,1898,1898,7,0.37959999992408,0.04255319103666818
