UID,Amount,Term,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,EmploymentType_Employed - part time,EmploymentType_Retired,EmploymentType_Self employed,DebtRatio,AccountAgeRatio
1999198,4000,24,Other,0,234,7,18,14,0,11,1,4,66.35,8037,8037,7,False,False,True,2.0092499994976873,0.029914529786690045
2017878,10000,48,Car,0,174,7,17,13,0,7,1,4,65.94,1912,1912,7,False,False,False,0.19119999998088,0.04022988482626503
2026138,8000,36,Other,0,163,22,5,3,0,2,0,2,117.0,4625,4625,7,False,False,False,0.5781249999277344,0.13496932432534156
2027596,15000,36,car,0,278,21,11,7,1,0,0,4,131.45,172901,955,0,False,False,False,11.526733332564884,0.07553956807359867
2036934,10000,60,Car,0,165,5,12,7,1,0,1,5,70.58,53466,10039,0,False,False,False,5.34659999946534,0.030303030119375577
2037842,15000,54,Other,0,45,8,5,4,0,0,1,1,24.4,7764,7764,0,False,False,False,0.5175999999654933,0.1777777738271606
2046916,7500,36,Car,0,196,11,13,9,0,1,1,4,69.23,10490,10490,0,False,False,False,1.3986666664801777,0.056122448693252815
2048059,8000,54,Car,0,135,13,5,4,0,2,0,1,68.6,12639,12639,7,False,False,False,1.5798749998025157,0.09629629558299041
2053081,5000,12,Other,0,31,4,11,10,1,0,7,1,11.55,6037,6037,0,False,False,False,1.2073999997585199,0.12903225390218534
2056219,10000,48,car,0,151,4,8,4,1,2,2,4,68.0,1574,1574,0,False,False,False,0.15739999998426,0.026490066049734664
2056270,10000,36,Car,0,30,2,6,6,0,0,3,0,11.67,625,625,0,False,False,False,0.06249999999375,0.06666666444444451
2059387,15000,60,Other,0,382,18,16,7,0,0,0,9,93.06,53335,1879,0,False,False,False,3.555666666429622,0.047120418724815656
2062589,12000,48,Other,0,133,4,9,5,0,0,1,4,82.22,11194,11194,0,False,False,True,0.9328333332555971,0.03007518774379558
2073454,10000,48,car,0,96,6,12,8,0,0,1,4,53.92,103758,12248,0,True,False,False,10.37579999896242,0.06249999934895834
2080794,15000,60,Car,0,164,2,15,5,4,0,2,10,49.27,10386,10386,0,False,False,True,0.6923999999538399,0.012195121876859014
2092298,15000,36,Car,0,260,12,17,7,1,0,0,10,75.12,26830,26830,1,False,False,False,1.7886666665474222,0.04615384597633136
2098980,3000,24,Car,0,158,9,28,14,0,13,1,14,51.89,3511,3511,7,False,False,False,1.1703333329432222,0.05696202495593655
2107409,8000,48,Other,0,199,11,8,7,0,0,1,1,71.0,23357,23357,0,False,False,False,2.919624999635047,0.05527638163177698
2109524,10000,60,Other,0,151,2,14,6,5,4,4,8,49.0,8190,8190,7,False,False,False,0.8189999999181,0.013245033024867332
2109995,500,12,car,0,124,1,32,14,16,1,23,18,19.19,21850,21850,7,False,False,False,43.6999999126,0.008064516063995839
2112814,12000,60,Car,0,160,3,13,7,1,0,1,6,65.31,103383,1428,0,False,False,False,8.615249999282062,0.0187499998828125
2114320,10000,60,Other,0,130,3,15,9,2,0,3,6,37.53,98853,1310,0,False,False,False,9.885299999011469,0.023076922899408287
2119046,10000,48,Other,1,197,9,16,9,3,0,1,7,77.0,135698,4829,0,False,False,False,13.569799998643019,0.04568527895591229
2119646,1000,12,Car,0,2,2,1,1,0,0,1,0,2.0,0,0,0,False,False,False,0.0,0.99999950000025
2148274,9000,24,Car,0,37,25,3,3,0,0,0,0,30.67,600,600,0,False,False,True,0.06666666665925926,0.6756756574141715
2153305,7500,48,car,0,180,94,5,2,0,0,0,3,117.6,0,0,0,False,False,True,0.0,0.5222222193209877
2155044,9000,36,New car,0,17,4,7,6,1,0,4,1,10.14,10979,10979,0,False,False,False,1.2198888887533457,0.23529410380622917
2159522,8000,48,New car,1,143,3,17,5,1,0,1,12,69.0,8430,8430,0,False,False,False,1.053749999868281,0.02097902083231454
2160485,12500,48,Other,0,54,9,3,3,0,0,2,0,24.67,9472,9472,0,False,False,False,0.7577599999393791,0.16666666358024698
2160607,17000,60,car,0,282,4,15,10,2,0,1,5,77.07,98208,5847,0,False,False,False,5.776941176130768,0.014184397112821287
2167375,1000,24,Other,0,174,0,28,19,3,2,10,9,32.18,7248,7248,7,False,False,False,7.247999992752,0.0
2168920,5500,48,Other,0,109,5,12,10,0,4,3,2,44.82,4222,4222,7,False,False,False,0.7676363634967933,0.04587155921218753
2169717,1000,24,Car repairs,0,66,2,3,3,0,0,1,0,26.67,1848,1848,0,False,False,False,1.8479999981520001,0.03030302984389349
2172797,18000,48,car,0,172,2,84,9,6,0,7,75,40.61,38387,38387,0,False,False,False,2.1326111109926327,0.011627906909140076
2176122,10000,48,Other,0,260,10,18,13,0,0,1,5,96.11,147599,25571,0,False,False,False,14.75989999852401,0.03846153831360947
